g	1	0   -2.9405e+04 5.7000                                            
g	1	1   -1.4509e+03	7.4000                      
h	1	1   4.6525e+03	-25.9000                        
g	2	0   -2.4996e+03	-11                     
g	2	1   2982    -7                      
h	2	1   -2.9916e+03 -30.2000                        
g	2	2   1677    -2.1000                     
h	2	2   -734.6000	-22.4000                        
g	3	0   1.3632e+03	2.2000                      
g	3	1   -2.3812e+03	-5.9000                     
h	3	1   -82.1000	6                       
g	3	2   1.2362e+03	3.1000                      
h	3	2   241.9000	-1.1000                     
g	3	3   525.7000	-12                     
h	3	3   -543.4000	0.5000                      
g	4	0   903	-1.2000                     
g	4	1   809.5000	-1.6000                     
h	4	1   281.9000	-0.1000                     
g	4	2   86.3000	-5.9000                     
h	4	2   -158.4000	6.5000                      
g	4	3   -309.4000	5.2000                      
h	4	3   199.7000	3.6000                      
g	4	4   48	-5.1000                     
h	4	4   -349.7000	-5                      
g	5	0   -234.3000	-0.3000                     
g	5	1   363.2000	0.5000                      
h	5	1   47.7000	0                       
g	5	2   187.8000	-0.6000                     
h	5	2   208.3000	2.5000                      
g	5	3   -140.7000	0.2000                      
h	5	3   -121.2000	-0.6000                     
g	5	4   -151.2000	1.3000                      
h	5	4   32.3000	3                       
g	5	5   13.5000	0.9000                      
h	5	5   98.9000	0.3000                      
g	6	0   66	-0.5000                     
g	6	1   65.5000	-0.3000                     
h	6	1   -19.1000	0                       
g	6	2   72.9000	0.4000                      
h	6	2   25.1000	-1.6000                     
g	6	3   -121.5000	1.3000                      
h	6	3   52.8000	-1.3000                     
g	6	4   -36.2000	-1.4000                     
h	6	4   -64.5000	0.8000                      
g	6	5   13.5000	0                       
h	6	5   8.9000	0                       
g	6	6   -64.7000	0.9000                      
h	6	6   68.1000	1                       
g	7	0   80.6000	-0.1000                     
g	7	1   -76.7000	-0.2000                     
h	7	1   -51.5000	0.6000                      
g	7	2   -8.2000	0                       
h	7	2   -16.9000	0.6000                      
g	7	3   56.5000	0.7000                      
h	7	3   2.2000	-0.8000                     
g	7	4   15.8000	0.1000                      
h	7	4   23.5000	-0.2000                     
g	7	5   6.4000	-0.5000                     
h	7	5   -2.2000	-1.1000                     
g	7	6   -7.2000	-0.8000                     
h	7	6   -27.2000	0.1000                      
g	7	7   9.8000	0.8000                      
h	7	7   -1.8000	0.3000                      
g	8	0   23.7000	0                       
g	8	1   9.7000	0.1000                      
h	8	1   8.4000	-0.2000                     
g	8	2   -17.6000	-0.1000                     
h	8	2   -15.3000	0.6000                      
g	8	3   -0.5000	0.4000                      
h	8	3   12.8000	-0.2000                     
g	8	4   -21.1000	-0.1000                     
h	8	4   -11.7000	0.5000                      
g	8	5   15.3000	0.4000                      
h	8	5   14.9000	-0.3000                     
g	8	6   13.7000	0.3000                      
h	8	6   3.6000	-0.4000                     
g	8	7   -16.5000	-0.1000                     
h	8	7   -6.9000	0.5000                      
g	8	8   -0.3000	0.4000                      
h	8	8   2.8000	0                       
g	9	0   5	0                       
g	9	1   8.4000	0
h	9	1   -23.4000	0
g	9	2   2.9000	0
h	9	2   11	0
g	9	3   -1.5000	0
h	9	3   9.8000	0
g	9	4   -1.1000	0
h	9	4   -5.1000	0
g	9	5   -13.2000	0
h	9	5   -6.3000	0
g	9	6   1.1000	0
h	9	6   7.8000	0
g	9	7   8.8000	0
h	9	7   0.4000	0
g	9	8   -9.3000	0
h	9	8   -1.4000	0
g	9	9   -11.9000	0
h	9	9   9.6000	0
g	10	0   -1.9000	0
g	10	1   -6.2000	0
h	10	1   3.4000	0
g	10	2   -0.1000	0
h	10	2   -0.2000	0
g	10	3   1.7000	0
h	10	3   3.6000	0
g	10	4   -0.9000	0
h	10	4   4.8000	0
g	10	5   0.7000	0
h	10	5   -8.6000	0
g	10	6   -0.9000	0
h	10	6   -0.1000	0
g	10	7   1.9000	0
h	10	7   -4.3000	0
g	10	8   1.4000	0
h	10	8   -3.4000	0
g	10	9   -2.4000	0
h	10	9   -0.1000	0
g	10	10  -3.8000	0
h	10	10  -8.8000	0
g	11	0   3	0
g	11	1   -1.4000	0
h	11	1   0	0
g	11	2   -2.5000	0
h	11	2   2.5000	0
g	11	3   2.3000	0
h	11	3   -0.6000	0
g	11	4   -0.9000	0
h	11	4   -0.4000	0
g	11	5   0.3000	0
h	11	5   0.6000	0
g	11	6   -0.7000	0
h	11	6   -0.2000	0
g	11	7   -0.1000	0
h	11	7   -1.7000	0
g	11	8   1.4000	0
h	11	8   -1.6000	0
g	11	9   -0.6000	0
h	11	9   -3	0
g	11	10  0.2000	0
h	11	10  -2	0
g	11	11  3.1000	0
h	11	11  -2.6000	0
g	12	0   -2	0
g	12	1   -0.1000	0
h	12	1   -1.2000	0
g	12	2   0.5000	0
h	12	2   0.5000	0
g	12	3   1.3000	0
h	12	3   1.4000	0
g	12	4   -1.2000	0
h	12	4   -1.8000	0
g	12	5   0.7000	0
h	12	5   0.1000	0
g	12	6   0.3000	0
h	12	6   0.8000	0
g	12	7   0.5000	0
h	12	7   -0.2000	0
g	12	8   -0.3000	0
h	12	8   0.6000	0
g	12	9   -0.5000	0
h	12	9   0.2000	0
g	12	10  0.1000	0
h	12	10  -0.9000	0
g	12	11  -1.1000	0
h	12	11  0	0
g	12	12  -0.3000	0
h   12	12  0.5000	0
g	13	0   0.1000	0
g	13	1   -0.9000	0
h	13	1   -0.9000	0
g	13	2   0.5000	0
h	13	2   0.6000	0
g	13	3   0.7000	0
h	13	3   1.4000	0
g	13	4   -0.3000	0
h	13	4   -0.4000	0
g	13	5   0.8000	0
h	13	5   -1.3000	0
g	13	6   0	0
h	13	6   -0.1000	0
g	13	7   0.8000	0
h	13	7   0.3000	0
g	13	8   0	0
h	13	8   -0.1000	0
g	13	9   0.4000	0
h	13	9   0.5000	0
g	13	10  0.1000	0
h	13	10  0.5000	0
g	13	11  0.5000	0
h	13	11  -0.4000	0
g	13	12  -0.5000	0
h	13	12  -0.4000	0
g	13	13  -0.4000	0
h	13	13  -0.6000	0
