timestamp,dis1,dis2,dis3,vel1,vel2,vel3
0,7022.47,-1400.08,0.0399516,1.89384,6.40589,4.53481
10,6840.71,2470.15,2562.23,-2.32533,6.12431,3.78296
20,4552.15,5634.79,4371.18,-5.005,4.27023,2.18403
30,1165.78,7506.83,5168.58,-6.04276,1.95641,0.497059
40,-2459.23,8007.42,5016.42,-5.87488,-0.244576,-0.952723
50,-5720.34,7279.46,4091.11,-4.88016,-2.1188,-2.07258
60,-8198.27,5546.9,2599.07,-3.29408,-3.58292,-2.8381
70,-9583.12,3075.29,760.08,-1.25517,-4.56901,-3.22227
80,-9634.53,181.34,-1181.03,1.13224,-4.96646,-3.16506
90,-8184.2,-2728.91,-2929.43,3.71435,-4.58277,-2.55852
100,-5206.4,-5105.11,-4113.22,6.1353,-3.13445,-1.26143
110,-1011.83,-6227.97,-4293.56,7.58516,-0.394018,0.767947
120,3440.26,-5392.72,-3130.05,6.77978,3.21944,3.07393
130,6557.51,-2528.08,-792.431,3.24423,6.01369,4.4592
140,7152.19,1332.68,1866.36,-1.1907,6.43873,4.13672
150,5388.57,4805.66,3943.54,-4.39625,4.92029,2.68261
160,2225.59,7092.63,5036.46,-5.88301,2.65821,0.966755
170,-1402.84,7996.94,5141.38,-6.02582,0.388104,-0.569942
180,-4822.18,7616.46,4416.26,-5.24426,-1.59725,-1.78897
190,-7567.64,6158.64,3063.91,-3.81463,-3.19157,-2.657
200,-9303.14,3877.54,1300.82,-1.89872,-4.33006,-3.15277
210,-9770.38,1071.9,-637.172,0.395705,-4.91985,-3.22897
220,-8777.19,-1884.31,-2473.06,2.94108,-4.79664,-2.79345
230,-6242.92,-4490,-3860.45,5.46479,-3.70086,-1.71069
240,-2348.45,-6072.67,-4375.09,7.32188,-1.35238,0.116466
250,2171.47,-5879.34,-3616.58,7.32005,2.11865,2.4344
260,5857.07,-3564.28,-1558.08,4.51288,5.38687,4.22471
270,7249.18,153.43,1116.11,0.0692319,6.57286,4.39455
280,6102.59,3863.8,3430.03,-3.62905,5.50873,3.16534
290,3246.93,6551.14,4821.38,-5.60513,3.36367,1.45558
300,-326.336,7869.92,5198.2,-6.09732,1.04862,-0.159215
310,-3864.15,7856.45,4690.44,-5.55303,-1.03967,-1.47654
320,-6848.33,6696.47,3495.19,-4.29324,-2.75919,-2.44644
330,-8911.9,4632.6,1826.55,-2.50856,-4.04229,-3.05036
340,-9777.33,1948.47,-86.4296,-0.316597,-4.80991,-3.25197
350,-9232.22,-1009.03,-1981.58,2.1704,-4.92335,-2.97453
360,-7154.03,-3783.18,-3536.19,4.74189,-4.15182,-2.09394
370,-3621.76,-5754.17,-4347.64,6.89471,-2.19962,-0.48466
380,831.029,-6165.29,-3987.12,7.59121,1.00613,1.75355
390,4942.83,-4468.38,-2269.39,5.62362,4.5537,3.83898
400,7112.77,-1031.85,330.643,1.41066,6.49271,4.52907
410,6665.36,2823.01,2834.76,-2.69955,6.00386,3.61327
420,4207.51,5882.76,4520.29,-5.19537,4.0589,1.95737
430,755.327,7621.63,5182.03,-6.07931,1.73233,0.278512
440,-2856.49,7993.05,4908.69,-5.80069,-0.447715,-1.13512
450,-6048.04,7153.13,3887.96,-4.7268,-2.28731,-2.20669
460,-8415.62,5331.95,2331.83,-3.08256,-3.70853,-2.91639
470,-9660.1,2800.18,464.506,-1.00137,-4.6419,-3.23698
480,-9550.72,-117.997,-1463.89,1.4109,-4.97109,-3.10613
490,-7932.58,-3004.78,-3151.81,3.98818,-4.4952,-2.414
500,-4806.09,-5293.53,-4221.22,6.34282,-2.92637,-1.02526
510,-534.203,-6253.43,-4237.83,7.61246,-0.0648899,1.06715
520,3849.09,-5207.2,-2901.55,6.51419,3.56351,3.3247
530,6733.56,-2182.16,-466.335,2.77155,6.17629,4.51774
540,7048.06,1703.27,2165.6,-1.61365,6.36905,4.00288
550,5082.56,5090.8,4131.48,-4.64042,4.72535,2.46299
560,1825.23,7248.33,5088.19,-5.96026,2.43271,0.741371
570,-1810.63,8020.17,5065.95,-5.98032,0.176472,-0.764606
580,-5175.05,7521.62,4237.26,-5.11156,-1.77731,-1.93777
590,-7820.86,5967.54,2811.44,-3.61848,-3.33111,-2.75184
600,-9423.9,3617.01,1009.41,-1.65595,-4.42023,-3.1864
610,-9735.42,775.263,-928.156,0.668956,-4.94719,-3.19222
620,-8574.83,-2173.42,-2718.01,3.22035,-4.73987,-2.67481
630,-5882.48,-4712.73,-4007.03,5.70087,-3.53154,-1.50087
640,-1882.3,-6155.03,-4370.59,7.41721,-1.05508,0.403874
650,2619.35,-5757.8,-3434.87,7.14604,2.47844,2.71569
660,6114.65,-3254.17,-1247.92,4.07682,5.62087,4.34819
670,7224.13,531.517,1434.93,-0.391401,6.5654,4.30702
680,5845.05,4182.41,3655.09,-3.92912,5.33895,2.95953
690,2864.28,6747.71,4912.42,-5.7273,3.14058,1.22611
700,-739.3,7932.19,5157.15,-6.08367,0.829961,-0.365144
710,-4238.35,7795.15,4538.08,-5.443,-1.23056,-1.63953
720,-7134.59,6531.69,3260.27,-4.11379,-2.91192,-2.55733
730,-9074.36,4389.66,1542.45,-2.27805,-4.14857,-3.10213
740,-9790.04,1658.47,-381.83,-0.0506801,-4.85807,-3.23632
750,-9079.62,-1306.05,-2244.7,2.45104,-4.89471,-2.88067
760,-6837.68,-4033.37,-3716.66,4.99786,-4.01938,-1.91102
770,-3178.04,-5887.15,-4391.57,7.04514,-1.93949,-0.21586
780,1301.51,-6108.85,-3856.2,7.50784,1.36269,2.05066
790,5273.1,-4206.1,-1986.21,5.24849,4.84738,4.02239
800,7172.12,-658.423,660.101,0.929441,6.55661,4.49745
810,6466.28,3169.64,3093.92,-3.05516,5.86969,3.42963
820,3850.93,6119.36,4651.15,-5.36671,3.84329,1.72749
830,343.121,7724.08,5177.25,-6.10107,1.50861,0.0626517
840,-3247.85,7967.2,4785.36,-5.71564,-0.648578,-1.31174
850,-6364.26,7017.01,3673.29,-4.56555,-2.45255,-2.33315
860,-8617.48,5109.43,2058.08,-2.86553,-3.82992,-2.98566
870,-9718.98,2520.43,168.205,-0.744389,-4.70923,-3.24146
880,-9447.75,-418.074,-1741.01,1.68969,-4.9681,-3.03589
890,-7663.12,-3276,-3361.47,4.25702,-4.39716,-2.25773
