timestamp,dis1,dis2,dis3,vel1,vel2,vel3,b1,b2,b3
0,7022.47,-1400.08,0.0399516,1.89384,6.40589,4.53481,4.42683e-321,4.42683e-321,4.42683e-321
0.01,7023.6,-1396.24,2.76023,1.88926,6.40681,4.53481,4.42683e-321,4.42683e-321,4.42683e-321
0.02,7024.73,-1392.39,5.4805,1.88468,6.40771,4.5348,4.42683e-321,4.42683e-321,4.42683e-321
0.03,7025.86,-1388.55,8.20078,1.88011,6.40862,4.5348,4.42683e-321,4.42683e-321,4.42683e-321
0.04,7026.99,-1384.7,10.921,1.87553,6.40952,4.53479,4.42683e-321,4.42683e-321,4.42683e-321
0.05,7028.11,-1380.86,13.6413,1.87095,6.41043,4.53479,4.42683e-321,4.42683e-321,4.42683e-321
0.06,7029.23,-1377.01,16.3616,1.86637,6.41132,4.53478,4.42683e-321,4.42683e-321,4.42683e-321
0.07,7030.35,-1373.16,19.0818,1.86179,6.41222,4.53476,4.42683e-321,4.42683e-321,4.42683e-321
0.08,7031.47,-1369.32,21.8021,1.85722,6.41311,4.53475,4.42683e-321,4.42683e-321,4.42683e-321
0.09,7032.58,-1365.47,24.5223,1.85264,6.414,4.53474,4.42683e-321,4.42683e-321,4.42683e-321
0.1,7033.69,-1361.62,27.2425,1.84806,6.41489,4.53472,4.42683e-321,4.42683e-321,4.42683e-321
0.11,7034.8,-1357.77,29.9628,1.84348,6.41578,4.5347,4.42683e-321,4.42683e-321,4.42683e-321
0.12,7035.9,-1353.92,32.683,1.8389,6.41666,4.53468,4.42683e-321,4.42683e-321,4.42683e-321
0.13,7037.01,-1350.07,35.4032,1.83432,6.41754,4.53466,4.42683e-321,4.42683e-321,4.42683e-321
0.14,7038.1,-1346.22,38.1234,1.82974,6.41842,4.53463,4.42683e-321,4.42683e-321,4.42683e-321
0.15,7039.2,-1342.37,40.8435,1.82517,6.41929,4.53461,4.42683e-321,4.42683e-321,4.42683e-321
0.16,7040.3,-1338.51,43.5637,1.82059,6.42016,4.53458,4.42683e-321,4.42683e-321,4.42683e-321
0.17,7041.39,-1334.66,46.2838,1.81601,6.42103,4.53455,4.42683e-321,4.42683e-321,4.42683e-321
0.18,7042.47,-1330.81,49.0039,1.81143,6.4219,4.53452,4.42683e-321,4.42683e-321,4.42683e-321
0.19,7043.56,-1326.95,51.724,1.80685,6.42276,4.53449,4.42683e-321,4.42683e-321,4.42683e-321
0.2,7044.64,-1323.1,54.4441,1.80227,6.42362,4.53445,4.42683e-321,4.42683e-321,4.42683e-321
0.21,7045.72,-1319.25,57.1642,1.7977,6.42448,4.53442,4.42683e-321,4.42683e-321,4.42683e-321
0.22,7046.8,-1315.39,59.8842,1.79312,6.42534,4.53438,4.42683e-321,4.42683e-321,4.42683e-321
0.23,7047.87,-1311.53,62.6042,1.78854,6.42619,4.53434,4.42683e-321,4.42683e-321,4.42683e-321
0.24,7048.95,-1307.68,65.3242,1.78396,6.42704,4.5343,4.42683e-321,4.42683e-321,4.42683e-321
0.25,7050.02,-1303.82,68.0442,1.77938,6.42789,4.53425,4.42683e-321,4.42683e-321,4.42683e-321
0.26,7051.08,-1299.96,70.7641,1.7748,6.42874,4.53421,4.42683e-321,4.42683e-321,4.42683e-321
0.27,7052.15,-1296.11,73.484,1.77023,6.42958,4.53416,4.42683e-321,4.42683e-321,4.42683e-321
0.28,7053.21,-1292.25,76.2039,1.76565,6.43042,4.53411,4.42683e-321,4.42683e-321,4.42683e-321
0.29,7054.26,-1288.39,78.9237,1.76107,6.43126,4.53406,4.42683e-321,4.42683e-321,4.42683e-321
0.3,7055.32,-1284.53,81.6435,1.75649,6.43209,4.53401,4.42683e-321,4.42683e-321,4.42683e-321
0.31,7056.37,-1280.67,84.3633,1.75191,6.43292,4.53396,4.42683e-321,4.42683e-321,4.42683e-321
0.32,7057.42,-1276.81,87.0831,1.74733,6.43375,4.5339,4.42683e-321,4.42683e-321,4.42683e-321
0.33,7058.47,-1272.95,89.8028,1.74276,6.43458,4.53384,4.42683e-321,4.42683e-321,4.42683e-321
0.34,7059.51,-1269.09,92.5225,1.73818,6.43541,4.53378,4.42683e-321,4.42683e-321,4.42683e-321
0.35,7060.55,-1265.23,95.2422,1.7336,6.43623,4.53372,4.42683e-321,4.42683e-321,4.42683e-321
0.36,7061.59,-1261.36,97.9618,1.72902,6.43705,4.53366,4.42683e-321,4.42683e-321,4.42683e-321
0.37,7062.63,-1257.5,100.681,1.72444,6.43786,4.5336,4.42683e-321,4.42683e-321,4.42683e-321
0.38,7063.66,-1253.64,103.401,1.71987,6.43868,4.53353,4.42683e-321,4.42683e-321,4.42683e-321
0.39,7064.69,-1249.77,106.12,1.71529,6.43949,4.53346,4.42683e-321,4.42683e-321,4.42683e-321
0.4,7065.72,-1245.91,108.84,1.71071,6.4403,4.53339,4.42683e-321,4.42683e-321,4.42683e-321
0.41,7066.75,-1242.05,111.559,1.70613,6.4411,4.53332,4.42683e-321,4.42683e-321,4.42683e-321
0.42,7067.77,-1238.18,114.279,1.70156,6.44191,4.53325,4.42683e-321,4.42683e-321,4.42683e-321
0.43,7068.79,-1234.32,116.998,1.69698,6.44271,4.53317,4.42683e-321,4.42683e-321,4.42683e-321
0.44,7069.81,-1230.45,119.717,1.6924,6.44351,4.5331,4.42683e-321,4.42683e-321,4.42683e-321
0.45,7070.82,-1226.58,122.436,1.68782,6.4443,4.53302,4.42683e-321,4.42683e-321,4.42683e-321
0.46,7071.83,-1222.72,125.156,1.68325,6.44509,4.53294,4.42683e-321,4.42683e-321,4.42683e-321
0.47,7072.84,-1218.85,127.875,1.67867,6.44588,4.53286,4.42683e-321,4.42683e-321,4.42683e-321
0.48,7073.85,-1214.98,130.594,1.67409,6.44667,4.53277,4.42683e-321,4.42683e-321,4.42683e-321
0.49,7074.85,-1211.11,133.313,1.66951,6.44746,4.53269,4.42683e-321,4.42683e-321,4.42683e-321
0.5,7075.85,-1207.24,136.032,1.66494,6.44824,4.5326,4.42683e-321,4.42683e-321,4.42683e-321
0.51,7076.85,-1203.37,138.751,1.66036,6.44902,4.53251,4.42683e-321,4.42683e-321,4.42683e-321
0.52,7077.84,-1199.5,141.47,1.65578,6.4498,4.53242,4.42683e-321,4.42683e-321,4.42683e-321
0.53,7078.83,-1195.63,144.189,1.65121,6.45057,4.53233,4.42683e-321,4.42683e-321,4.42683e-321
0.54,7079.82,-1191.76,146.907,1.64663,6.45134,4.53223,4.42683e-321,4.42683e-321,4.42683e-321
0.55,7080.81,-1187.89,149.626,1.64205,6.45211,4.53214,4.42683e-321,4.42683e-321,4.42683e-321
0.56,7081.79,-1184.02,152.345,1.63748,6.45288,4.53204,4.42683e-321,4.42683e-321,4.42683e-321
0.57,7082.77,-1180.15,155.063,1.6329,6.45364,4.53194,4.42683e-321,4.42683e-321,4.42683e-321
0.58,7083.75,-1176.27,157.782,1.62833,6.4544,4.53184,4.42683e-321,4.42683e-321,4.42683e-321
0.59,7084.73,-1172.4,160.5,1.62375,6.45516,4.53174,4.42683e-321,4.42683e-321,4.42683e-321
0.6,7085.7,-1168.53,163.219,1.61917,6.45592,4.53163,4.42683e-321,4.42683e-321,4.42683e-321
0.61,7086.67,-1164.65,165.937,1.6146,6.45667,4.53152,4.42683e-321,4.42683e-321,4.42683e-321
0.62,7087.64,-1160.78,168.655,1.61002,6.45742,4.53142,4.42683e-321,4.42683e-321,4.42683e-321
0.63,7088.6,-1156.9,171.374,1.60545,6.45817,4.53131,4.42683e-321,4.42683e-321,4.42683e-321
0.64,7089.57,-1153.03,174.092,1.60087,6.45892,4.53119,4.42683e-321,4.42683e-321,4.42683e-321
0.65,7090.52,-1149.15,176.81,1.5963,6.45966,4.53108,4.42683e-321,4.42683e-321,4.42683e-321
0.66,7091.48,-1145.28,179.528,1.59172,6.4604,4.53097,4.42683e-321,4.42683e-321,4.42683e-321
0.67,7092.44,-1141.4,182.246,1.58715,6.46114,4.53085,4.42683e-321,4.42683e-321,4.42683e-321
0.68,7093.39,-1137.52,184.964,1.58257,6.46187,4.53073,4.42683e-321,4.42683e-321,4.42683e-321
0.69,7094.33,-1133.65,187.681,1.578,6.46261,4.53061,4.42683e-321,4.42683e-321,4.42683e-321
0.7,7095.28,-1129.77,190.399,1.57342,6.46334,4.53049,4.42683e-321,4.42683e-321,4.42683e-321
0.71,7096.22,-1125.89,193.117,1.56885,6.46406,4.53036,4.42683e-321,4.42683e-321,4.42683e-321
0.72,7097.16,-1122.01,195.834,1.56427,6.46479,4.53024,4.42683e-321,4.42683e-321,4.42683e-321
0.73,7098.1,-1118.13,198.552,1.5597,6.46551,4.53011,4.42683e-321,4.42683e-321,4.42683e-321
0.74,7099.03,-1114.25,201.269,1.55512,6.46623,4.52998,4.42683e-321,4.42683e-321,4.42683e-321
0.75,7099.97,-1110.37,203.987,1.55055,6.46695,4.52985,4.42683e-321,4.42683e-321,4.42683e-321
0.76,7100.89,-1106.49,206.704,1.54598,6.46766,4.52972,4.42683e-321,4.42683e-321,4.42683e-321
0.77,7101.82,-1102.61,209.421,1.5414,6.46837,4.52959,4.42683e-321,4.42683e-321,4.42683e-321
0.78,7102.74,-1098.73,212.138,1.53683,6.46908,4.52945,4.42683e-321,4.42683e-321,4.42683e-321
0.79,7103.67,-1094.85,214.855,1.53226,6.46979,4.52931,4.42683e-321,4.42683e-321,4.42683e-321
0.8,7104.58,-1090.96,217.572,1.52768,6.47049,4.52917,4.42683e-321,4.42683e-321,4.42683e-321
0.81,7105.5,-1087.08,220.289,1.52311,6.47119,4.52903,4.42683e-321,4.42683e-321,4.42683e-321
0.82,7106.41,-1083.2,223.006,1.51854,6.47189,4.52889,4.42683e-321,4.42683e-321,4.42683e-321
0.83,7107.32,-1079.31,225.723,1.51397,6.47259,4.52874,4.42683e-321,4.42683e-321,4.42683e-321
0.84,7108.23,-1075.43,228.439,1.50939,6.47328,4.5286,4.42683e-321,4.42683e-321,4.42683e-321
0.85,7109.13,-1071.55,231.156,1.50482,6.47397,4.52845,4.42683e-321,4.42683e-321,4.42683e-321
0.86,7110.03,-1067.66,233.872,1.50025,6.47466,4.5283,4.42683e-321,4.42683e-321,4.42683e-321
0.87,7110.93,-1063.78,236.589,1.49568,6.47534,4.52815,4.42683e-321,4.42683e-321,4.42683e-321
0.88,7111.83,-1059.89,239.305,1.49111,6.47603,4.528,4.42683e-321,4.42683e-321,4.42683e-321
0.89,7112.72,-1056,242.021,1.48653,6.47671,4.52784,4.42683e-321,4.42683e-321,4.42683e-321
0.9,7113.61,-1052.12,244.737,1.48196,6.47738,4.52768,4.42683e-321,4.42683e-321,4.42683e-321
0.91,7114.5,-1048.23,247.453,1.47739,6.47806,4.52753,4.42683e-321,4.42683e-321,4.42683e-321
0.92,7115.39,-1044.34,250.169,1.47282,6.47873,4.52737,4.42683e-321,4.42683e-321,4.42683e-321
0.93,7116.27,-1040.46,252.885,1.46825,6.4794,4.5272,4.42683e-321,4.42683e-321,4.42683e-321
0.94,7117.15,-1036.57,255.6,1.46368,6.48007,4.52704,4.42683e-321,4.42683e-321,4.42683e-321
0.95,7118.02,-1032.68,258.316,1.45911,6.48073,4.52687,4.42683e-321,4.42683e-321,4.42683e-321
0.96,7118.9,-1028.79,261.031,1.45454,6.4814,4.52671,4.42683e-321,4.42683e-321,4.42683e-321
0.97,7119.77,-1024.9,263.747,1.44997,6.48205,4.52654,4.42683e-321,4.42683e-321,4.42683e-321
0.98,7120.64,-1021.01,266.462,1.4454,6.48271,4.52637,4.42683e-321,4.42683e-321,4.42683e-321
0.99,7121.5,-1017.12,269.177,1.44083,6.48337,4.5262,4.42683e-321,4.42683e-321,4.42683e-321
1,7122.37,-1013.23,271.892,1.43626,6.48402,4.52602,4.42683e-321,4.42683e-321,4.42683e-321
1.01,7123.23,-1009.34,274.607,1.43169,6.48467,4.52585,4.42683e-321,4.42683e-321,4.42683e-321
1.02,7124.09,-1005.45,277.322,1.42712,6.48531,4.52567,4.42683e-321,4.42683e-321,4.42683e-321
1.03,7124.94,-1001.56,280.037,1.42256,6.48596,4.52549,4.42683e-321,4.42683e-321,4.42683e-321
1.04,7125.79,-997.665,282.752,1.41799,6.4866,4.52531,4.42683e-321,4.42683e-321,4.42683e-321
1.05,7126.64,-993.773,285.466,1.41342,6.48724,4.52513,4.42683e-321,4.42683e-321,4.42683e-321
1.06,7127.49,-989.88,288.181,1.40885,6.48787,4.52494,4.42683e-321,4.42683e-321,4.42683e-321
1.07,7128.33,-985.987,290.895,1.40428,6.4885,4.52476,4.42683e-321,4.42683e-321,4.42683e-321
1.08,7129.17,-982.093,293.609,1.39972,6.48913,4.52457,4.42683e-321,4.42683e-321,4.42683e-321
1.09,7130.01,-978.199,296.323,1.39515,6.48976,4.52438,4.42683e-321,4.42683e-321,4.42683e-321
1.1,7130.85,-974.305,299.037,1.39058,6.49039,4.52419,4.42683e-321,4.42683e-321,4.42683e-321
1.11,7131.68,-970.411,301.751,1.38602,6.49101,4.524,4.42683e-321,4.42683e-321,4.42683e-321
1.12,7132.51,-966.515,304.465,1.38145,6.49163,4.5238,4.42683e-321,4.42683e-321,4.42683e-321
1.13,7133.34,-962.62,307.178,1.37688,6.49225,4.52361,4.42683e-321,4.42683e-321,4.42683e-321
1.14,7134.16,-958.724,309.892,1.37232,6.49286,4.52341,4.42683e-321,4.42683e-321,4.42683e-321
1.15,7134.99,-954.828,312.605,1.36775,6.49348,4.52321,4.42683e-321,4.42683e-321,4.42683e-321
1.16,7135.81,-950.932,315.319,1.36319,6.49409,4.52301,4.42683e-321,4.42683e-321,4.42683e-321
1.17,7136.62,-947.035,318.032,1.35862,6.49469,4.52281,4.42683e-321,4.42683e-321,4.42683e-321
1.18,7137.44,-943.138,320.745,1.35406,6.4953,4.5226,4.42683e-321,4.42683e-321,4.42683e-321
1.19,7138.25,-939.24,323.458,1.34949,6.4959,4.52239,4.42683e-321,4.42683e-321,4.42683e-321
1.2,7139.06,-935.342,326.171,1.34493,6.4965,4.52219,4.42683e-321,4.42683e-321,4.42683e-321
1.21,7139.86,-931.444,328.883,1.34037,6.4971,4.52198,4.42683e-321,4.42683e-321,4.42683e-321
1.22,7140.66,-927.545,331.596,1.3358,6.49769,4.52177,4.42683e-321,4.42683e-321,4.42683e-321
1.23,7141.46,-923.646,334.308,1.33124,6.49828,4.52155,4.42683e-321,4.42683e-321,4.42683e-321
1.24,7142.26,-919.747,337.02,1.32668,6.49887,4.52134,4.42683e-321,4.42683e-321,4.42683e-321
1.25,7143.06,-915.847,339.733,1.32211,6.49946,4.52112,4.42683e-321,4.42683e-321,4.42683e-321
1.26,7143.85,-911.947,342.445,1.31755,6.50004,4.5209,4.42683e-321,4.42683e-321,4.42683e-321
1.27,7144.64,-908.046,345.157,1.31299,6.50062,4.52068,4.42683e-321,4.42683e-321,4.42683e-321
1.28,7145.42,-904.146,347.868,1.30843,6.5012,4.52046,4.42683e-321,4.42683e-321,4.42683e-321
1.29,7146.21,-900.245,350.58,1.30386,6.50178,4.52024,4.42683e-321,4.42683e-321,4.42683e-321
1.3,7146.99,-896.343,353.291,1.2993,6.50235,4.52001,4.42683e-321,4.42683e-321,4.42683e-321
1.31,7147.77,-892.441,356.003,1.29474,6.50292,4.51979,4.42683e-321,4.42683e-321,4.42683e-321
1.32,7148.54,-888.539,358.714,1.29018,6.50349,4.51956,4.42683e-321,4.42683e-321,4.42683e-321
1.33,7149.31,-884.637,361.425,1.28562,6.50406,4.51933,4.42683e-321,4.42683e-321,4.42683e-321
1.34,7150.08,-880.734,364.136,1.28106,6.50462,4.5191,4.42683e-321,4.42683e-321,4.42683e-321
1.35,7150.85,-876.831,366.847,1.2765,6.50518,4.51886,4.42683e-321,4.42683e-321,4.42683e-321
1.36,7151.62,-872.927,369.557,1.27194,6.50574,4.51863,4.42683e-321,4.42683e-321,4.42683e-321
1.37,7152.38,-869.023,372.268,1.26738,6.50629,4.51839,4.42683e-321,4.42683e-321,4.42683e-321
1.38,7153.14,-865.119,374.978,1.26282,6.50685,4.51815,4.42683e-321,4.42683e-321,4.42683e-321
1.39,7153.89,-861.215,377.689,1.25827,6.5074,4.51791,4.42683e-321,4.42683e-321,4.42683e-321
1.4,7154.65,-857.31,380.399,1.25371,6.50794,4.51767,4.42683e-321,4.42683e-321,4.42683e-321
1.41,7155.4,-853.405,383.109,1.24915,6.50849,4.51743,4.42683e-321,4.42683e-321,4.42683e-321
1.42,7156.15,-849.499,385.818,1.24459,6.50903,4.51718,4.42683e-321,4.42683e-321,4.42683e-321
1.43,7156.89,-845.593,388.528,1.24003,6.50957,4.51693,4.42683e-321,4.42683e-321,4.42683e-321
1.44,7157.63,-841.687,391.238,1.23548,6.51011,4.51669,4.42683e-321,4.42683e-321,4.42683e-321
1.45,7158.37,-837.781,393.947,1.23092,6.51064,4.51644,4.42683e-321,4.42683e-321,4.42683e-321
1.46,7159.11,-833.874,396.656,1.22637,6.51118,4.51618,4.42683e-321,4.42683e-321,4.42683e-321
1.47,7159.85,-829.967,399.365,1.22181,6.51171,4.51593,4.42683e-321,4.42683e-321,4.42683e-321
1.48,7160.58,-826.06,402.074,1.21725,6.51223,4.51567,4.42683e-321,4.42683e-321,4.42683e-321
1.49,7161.31,-822.152,404.783,1.2127,6.51276,4.51542,4.42683e-321,4.42683e-321,4.42683e-321
1.5,7162.03,-818.244,407.491,1.20814,6.51328,4.51516,4.42683e-321,4.42683e-321,4.42683e-321
1.51,7162.76,-814.335,410.2,1.20359,6.5138,4.5149,4.42683e-321,4.42683e-321,4.42683e-321
1.52,7163.48,-810.427,412.908,1.19904,6.51432,4.51464,4.42683e-321,4.42683e-321,4.42683e-321
1.53,7164.2,-806.518,415.616,1.19448,6.51483,4.51437,4.42683e-321,4.42683e-321,4.42683e-321
1.54,7164.91,-802.609,418.324,1.18993,6.51534,4.51411,4.42683e-321,4.42683e-321,4.42683e-321
1.55,7165.62,-798.699,421.032,1.18538,6.51585,4.51384,4.42683e-321,4.42683e-321,4.42683e-321
1.56,7166.33,-794.789,423.74,1.18082,6.51636,4.51357,4.42683e-321,4.42683e-321,4.42683e-321
